id,stock_code,isin_code,corp_code,instrument_name,instrument_name_en,primary_market_code,security_type,sector_code,industry_code,listing_date,delisting_date,listing_status,currency_code,is_active,source_id,source_updated_at,created_at,updated_at
17132,078935,,,GS우,,KRX_KOSPI,PREFERRED,,,Thu Aug 05 2004 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17133,006360,,,GS건설,,KRX_KOSPI,COMMON,,,Mon Aug 03 1981 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17134,078930,,,GS,,KRX_KOSPI,COMMON,,,Thu Aug 05 2004 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17135,012630,,,HDC,,KRX_KOSPI,COMMON,,,Wed Oct 16 1996 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17136,097230,,,HJ중공업,,KRX_KOSPI,COMMON,,,Fri Aug 31 2007 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17137,014790,,,HL D&I,,KRX_KOSPI,COMMON,,,Fri Aug 12 1994 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17138,204320,,,HL만도,,KRX_KOSPI,COMMON,,,Mon Oct 06 2014 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17139,060980,,,HL홀딩스,,KRX_KOSPI,COMMON,,,Wed May 19 2010 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17140,035000,,,HS애드,,KRX_KOSPI,COMMON,,,Wed Aug 11 1999 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17141,015360,,,INVENI,,KRX_KOSPI,COMMON,,,Tue Dec 24 1996 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17142,175330,,,JB금융지주,,KRX_KOSPI,COMMON,,,Thu Jul 18 2013 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17143,234080,,,JW생명과학,,KRX_KOSPI,COMMON,,,Thu Oct 27 2016 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17144,001065,,,JW중외제약우,,KRX_KOSPI,PREFERRED,,,Fri Oct 21 1994 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17145,001067,,,JW중외제약2우B,,KRX_KOSPI,PREFERRED,,,Mon Apr 13 1998 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17146,001060,,,JW중외제약,,KRX_KOSPI,COMMON,,,Mon Jun 14 1976 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17147,096760,,,JW홀딩스,,KRX_KOSPI,COMMON,,,Tue Jul 31 2007 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17148,105560,,,KB금융,,KRX_KOSPI,COMMON,,,Fri Oct 10 2008 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17149,432320,,,KB스타리츠,,KRX_KOSPI,COMMON,,,Thu Oct 06 2022 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17150,009070,,,KCTC,,KRX_KOSPI,COMMON,,,Fri Sep 29 1978 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17151,003620,,,KG모빌리티,,KRX_KOSPI,COMMON,,,Thu May 29 1975 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17152,016380,,,KG스틸,,KRX_KOSPI,COMMON,,,Mon Feb 03 1986 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17153,001390,,,KG케미칼,,KRX_KOSPI,COMMON,,,Fri Aug 25 1989 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17154,001940,,,KISCO홀딩스,,KRX_KOSPI,COMMON,,,Mon Nov 13 1989 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17155,025000,,,KPX케미칼,,KRX_KOSPI,COMMON,,,Tue Dec 27 1994 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17156,092230,,,KPX홀딩스,,KRX_KOSPI,COMMON,,,Thu Oct 12 2006 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17157,000040,,,KR모터스,,KRX_KOSPI,COMMON,,,Tue May 25 1976 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17158,093050,,,LF,,KRX_KOSPI,COMMON,,,Fri Dec 01 2006 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17159,003555,,,LG우,,KRX_KOSPI,PREFERRED,,,Fri Nov 18 1988 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17160,034220,,,LG디스플레이,,KRX_KOSPI,COMMON,,,Fri Jul 23 2004 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17161,003550,,,LG,,KRX_KOSPI,COMMON,,,Fri Feb 13 1970 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17162,051905,,,LG생활건강우,,KRX_KOSPI,PREFERRED,,,Wed Apr 25 2001 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17163,051900,,,LG생활건강,,KRX_KOSPI,COMMON,,,Wed Apr 25 2001 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17164,373220,,,LG에너지솔루션,,KRX_KOSPI,COMMON,,,Thu Jan 27 2022 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17165,032640,,,LG유플러스,,KRX_KOSPI,COMMON,,,Mon Apr 21 2008 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17166,011070,,,LG이노텍,,KRX_KOSPI,COMMON,,,Thu Jul 24 2008 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17167,066575,,,LG전자우,,KRX_KOSPI,PREFERRED,,,Mon Apr 22 2002 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17168,066570,,,LG전자,,KRX_KOSPI,COMMON,,,Mon Apr 22 2002 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17169,051915,,,LG화학우,,KRX_KOSPI,PREFERRED,,,Wed Apr 25 2001 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17170,051910,,,LG화학,,KRX_KOSPI,COMMON,,,Wed Apr 25 2001 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17171,079550,,,LIG디펜스앤에어로스페이스,,KRX_KOSPI,COMMON,,,Fri Oct 02 2015 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17172,010120,,,LS ELECTRIC,,KRX_KOSPI,COMMON,,,Mon Jul 11 1994 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17173,000680,,,LS네트웍스,,KRX_KOSPI,COMMON,,,Thu Nov 15 1973 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17174,006260,,,LS,,KRX_KOSPI,COMMON,,,Thu Jun 30 1977 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17175,229640,,,LS에코에너지,,KRX_KOSPI,COMMON,,,Thu Sep 22 2016 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17176,108320,,,LX세미콘,,KRX_KOSPI,COMMON,,,Thu Nov 03 2022 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17177,001120,,,LX인터내셔널,,KRX_KOSPI,COMMON,,,Fri Jan 30 1976 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17178,023150,,,MH에탄올,,KRX_KOSPI,COMMON,,,Tue Dec 24 1996 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17179,035420,,,NAVER,,KRX_KOSPI,COMMON,,,Fri Nov 28 2008 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
17180,181710,,,NHN,,KRX_KOSPI,COMMON,,,Thu Aug 29 2013 00:00:00 GMT+0900 (한국 표준시),,LISTED,KRW,true,3,,Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시),Tue Aug 18 2026 20:30:42 GMT+0900 (한국 표준시)
