stock_code,instrument_name,previous_market_code,previous_listing_date,current_api_present,listing_status,delisting_date,evidence_type,evidence_date,evidence_reference,evidence_hash,verification_result,review_note
152550,한국ANKOR유전,KRX_KOSPI,2012-03-08,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
168490,한국패러랠,KRX_KOSPI,2013-04-19,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
010420,한솔PNS,KRX_KOSPI,1989-05-31,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
006390,한일현대시멘트,KRX_KOSPI,1975-12-26,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
042670,현대두산인프라코어,KRX_KOSPI,2001-02-02,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
010620,현대미포조선,KRX_KOSPI,1983-12-20,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
057050,현대홈쇼핑,KRX_KOSPI,2010-09-13,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
950110,SBI핀테크솔루션즈,KRX_KOSDAQ,2012-12-17,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
014200,광림,KRX_KOSDAQ,1993-07-07,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
397880,교보11호스팩,KRX_KOSDAQ,2021-12-20,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
421800,교보12호스팩,KRX_KOSDAQ,2022-06-24,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
440790,교보13호스팩,KRX_KOSDAQ,2022-11-02,FALSE,LISTED,,NONE,,,,,MISSING_FROM_CURRENT_SOURCE|DELISTING_UNVERIFIED|NOT_INCLUDED_IN_V4_PAYLOAD
