source_market,source_record_index,source_identifier,stock_code,instrument_name,raw_security_type,normalized_security_type,included_in_stock_service,exclusion_reason,duplicate_group,listing_date_raw,listing_date_normalized,validation_result
KOSDAQ,1549,KR7328380001,328380,솔트웨어,주권,COMMON,TRUE,,,20190820,2019-08-20,VALID
KOSDAQ,1550,KR7086980000,086980,쇼박스,주권,COMMON,TRUE,,,20060707,2006-07-07,VALID
KOSDAQ,1551,KR7050960004,050960,수산아이앤티,주권,COMMON,TRUE,,,20161011,2016-10-11,VALID
KOSDAQ,1552,KR7084180009,084180,수성웹툰,주권,COMMON,TRUE,,,20051216,2005-12-16,VALID
KOSDAQ,1553,KR7253840003,253840,수젠텍,주권,COMMON,TRUE,,,20190528,2019-05-28,VALID
KOSDAQ,1554,KR7067160002,067160,SOOP,주권,COMMON,TRUE,,,20031219,2003-12-19,VALID
KOSDAQ,1555,KR7298830001,298830,슈어소프트테크,주권,COMMON,TRUE,,,20230428,2023-04-28,VALID
KOSDAQ,1556,KR7236200002,236200,슈프리마,주권,COMMON,TRUE,,,20160205,2016-02-05,VALID
KOSDAQ,1557,KR7094840006,094840,슈프리마에이치큐,주권,COMMON,TRUE,,,20080711,2008-07-11,VALID
KOSDAQ,1558,KR7192440006,192440,슈피겐코리아,주권,COMMON,TRUE,,,20141105,2014-11-05,VALID
KOSDAQ,1559,KR7424960003,424960,스마트레이더시스템,주권,COMMON,TRUE,,,20230822,2023-08-22,VALID
KOSDAQ,1560,KR7099440000,099440,스맥,주권,COMMON,TRUE,,,20090526,2009-05-26,VALID
KOSDAQ,1561,KR7066590001,066590,스모트로닉,주권,COMMON,TRUE,,,20030212,2003-02-12,VALID
KOSDAQ,1562,KR7357880004,357880,SKAI,주권,COMMON,TRUE,,,20211110,2021-11-10,VALID
KOSDAQ,1563,KR7276040003,276040,스코넥,주권,COMMON,TRUE,,,20220204,2022-02-04,VALID
KOSDAQ,1564,KR7115570004,115570,스타플렉스,주권,COMMON,TRUE,,,20100127,2010-01-27,VALID
KOSDAQ,1565,KR7330730003,330730,스톤브릿지벤처스,주권,COMMON,TRUE,,,20220225,2022-02-25,VALID
KOSDAQ,1566,KR7352090005,352090,스톰테크,주권,COMMON,TRUE,,,20231120,2023-11-20,VALID
KOSDAQ,1567,KR7253450001,253450,스튜디오드래곤,주권,COMMON,TRUE,,,20171124,2017-11-24,VALID
KOSDAQ,1568,KR7408900009,408900,스튜디오미르,주권,COMMON,TRUE,,,20230207,2023-02-07,VALID
KOSDAQ,1569,KR7415380005,415380,스튜디오삼익,주권,COMMON,TRUE,,,20240206,2024-02-06,VALID
KOSDAQ,1570,KR7475040002,475040,스트라드비젼,주권,COMMON,TRUE,,,20260630,2026-06-30,VALID
KOSDAQ,1571,KR7013810007,013810,스페코,주권,COMMON,TRUE,,,19971103,1997-11-03,VALID
KOSDAQ,1572,KR7347700007,347700,스피어,주권,COMMON,TRUE,,,20210323,2021-03-23,VALID
KOSDAQ,1573,KR7049830003,049830,승일,주권,COMMON,TRUE,,,20010118,2001-01-18,VALID
KOSDAQ,1574,KR7020710000,020710,시공테크,주권,COMMON,TRUE,,,19990813,1999-08-13,VALID
KOSDAQ,1575,KR7033170002,033170,시그네틱스,주권,COMMON,TRUE,,,20101126,2010-11-26,VALID
KOSDAQ,1576,KR7048870000,048870,시너지이노베이션,주권,COMMON,TRUE,,,20040813,2004-08-13,VALID
KOSDAQ,1577,KR7025320003,025320,시노펙스,주권,COMMON,TRUE,,,19950420,1995-04-20,VALID
KOSDAQ,1578,KR7340810001,340810,시선AI,주권,COMMON,TRUE,,,20230519,2023-05-19,VALID
KOSDAQ,1579,KR7269620001,269620,시스웍,주권,COMMON,TRUE,,,20171226,2017-12-26,VALID
KOSDAQ,1580,KR7056090004,056090,시지메드텍,주권,COMMON,TRUE,,,20151112,2015-11-12,VALID
KOSDAQ,1581,KR7429270002,429270,시지트로닉스,주권,COMMON,TRUE,,,20230803,2023-08-03,VALID
KOSDAQ,1582,KR7418250007,418250,시큐레터,주권,COMMON,TRUE,,,20230824,2023-08-24,VALID
KOSDAQ,1583,KR7131090003,131090,시큐브,주권,COMMON,TRUE,,,20111221,2011-12-21,VALID
KOSDAQ,1584,KR7290520006,290520,신도기연,주권,COMMON,TRUE,,,20200706,2020-07-06,VALID
KOSDAQ,1585,KR7001000009,001000,신라섬유,주권,COMMON,TRUE,,,19940628,1994-06-28,VALID
KOSDAQ,1586,KR7025870007,025870,신라에스지,주권,COMMON,TRUE,,,19950707,1995-07-07,VALID
KOSDAQ,1587,KR7215600008,215600,신라젠,주권,COMMON,TRUE,,,20161206,2016-12-06,VALID
KOSDAQ,1588,KR7065350001,065350,신성델타테크,주권,COMMON,TRUE,,,20040806,2004-08-06,VALID
KOSDAQ,1589,KR7416180008,416180,신성에스티,주권,COMMON,TRUE,,,20231019,2023-10-19,VALID
KOSDAQ,1590,KR7162300008,162300,신스틸,주권,COMMON,TRUE,,,20221223,2022-12-23,VALID
KOSDAQ,1591,KR7002800001,002800,신신제약,주권,COMMON,TRUE,,,20170228,2017-02-28,VALID
