stock_code,instrument_name,market_code,listing_date,listing_date_source,listing_status,listing_status_source,delisting_date,delisting_date_source,current_api_present,historical_api_date,evidence_reference,verification_result
419270,신영스팩7호,KRX_KOSDAQ,2022-04-28,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
430220,신영스팩8호,KRX_KOSDAQ,2022-08-26,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
445970,신영스팩9호,KRX_KOSDAQ,2022-12-27,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
418210,신한제10호스팩,KRX_KOSDAQ,2022-07-29,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
366330,신한제7호스팩,KRX_KOSDAQ,2021-02-04,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
393360,신한제8호스팩,KRX_KOSDAQ,2021-09-27,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
405640,신한제9호스팩,KRX_KOSDAQ,2022-04-27,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
023460,CNH,KRX_KOSDAQ,1994-10-07,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
058220,아리온,KRX_KOSDAQ,2005-08-05,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
351340,IBKS제13호스팩,KRX_KOSDAQ,2020-07-15,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
405350,IBKS제17호스팩,KRX_KOSDAQ,2022-02-18,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
426550,IBKS제19호스팩,KRX_KOSDAQ,2022-08-26,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
439730,IBKS제20호스팩,KRX_KOSDAQ,2022-10-28,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
442770,IBKS제21호스팩,KRX_KOSDAQ,2022-12-16,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
101390,아이엠,KRX_KOSDAQ,2008-07-23,KRX_HISTORICAL_API,DELISTED,KRX_API_ABSENCE,,,FALSE,20240102_OR_EARLIER,KRX_OPEN_API_STK_ISU_BASE_INFO,VERIFIED_DELISTED
