market,source_short_code,source_standard_code,source_name,source_security_type,matched_instrument_id,match_method,result,reason_code
KRX_KOSPI,402340,402340,SK스퀘어,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,361610,361610,SK아이이테크놀로지,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,100090,100090,SK오션플랜트,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,096775,096775,SK이노베이션우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,096770,096770,SK이노베이션,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001515,001515,SK증권우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001510,001510,SK증권,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,28513K,28513K,SK케미칼우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,285130,285130,SK케미칼,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,017670,017670,SK텔레콤,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,003570,003570,SNT다이내믹스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,064960,064960,SNT모티브,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,100840,100840,SNT에너지,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,036530,036530,SNT홀딩스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,465770,465770,STX그린로지스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,011810,011810,STX,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,077970,077970,STX엔진,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,084870,084870,TBH글로벌,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,002710,002710,TCC스틸,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,024070,024070,WISCOM,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000500,000500,가온전선,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000860,000860,강남제비스코,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,035250,035250,강원랜드,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,011420,011420,갤럭시아에스엠,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,002100,002100,경농,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,009450,009450,경동나비엔,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,267290,267290,경동도시가스,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,012320,012320,경동인베스트,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000050,000050,경방,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,214390,214390,경보제약,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,012610,012610,경인양행,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,009140,009140,경인전자,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,013580,013580,계룡건설,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,012205,012205,계양전기우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,012200,012200,계양전기,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,002140,002140,고려산업,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,010130,010130,고려아연,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,002240,002240,고려제강,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,009290,009290,광동제약,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,017040,017040,광명전기,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,017900,017900,광전자,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,037710,037710,광주신세계,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,030610,030610,교보증권,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,339770,339770,교촌에프앤비,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,007690,007690,국도화학,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,002720,002720,국제약품,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,114090,114090,GKL,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,083420,083420,그린케미칼,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,014530,014530,극동유화,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,014285,014285,금강공업우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,014280,014280,금강공업,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,008870,008870,금비,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001570,001570,금양,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,002995,002995,금호건설우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,002990,002990,금호건설,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,011785,011785,금호석유화학우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,011780,011780,금호석유화학,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,214330,214330,금호에이치티,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,001210,001210,금호전기,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,073240,073240,금호타이어,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,092440,092440,기신정기,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,000270,000270,기아,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,013700,013700,까뮤이앤씨,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
KRX_KOSPI,004545,004545,깨끗한나라우,UNKNOWN,valid_id,EXACT_MATCH,INCLUDED,
